index,relative_path,category,extension,size_bytes,estimated_records,parse_status,sensitive_keys,observed_keys,sha256
76,public\ocr\books\class6-english\pages\page-071.json,TEXTBOOK_OCR,.json,21264,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,66282d48266d6ea4cde0f68f414081e5469b25c14150cb9dd99f8e6e5e961c03
77,public\ocr\books\class6-english\pages\page-072.json,TEXTBOOK_OCR,.json,26666,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,40be2a6c3d817ba4c422378e26eb87dc5621998f4ea8108231debfc689828895
78,public\ocr\books\class6-english\pages\page-073.json,TEXTBOOK_OCR,.json,20465,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,ec436af6c5d07d47bab90b8f553dae0c2b90c333cf2f075ad2928081559e0bf8
79,public\ocr\books\class6-english\pages\page-074.json,TEXTBOOK_OCR,.json,24764,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,4b288808873311f24a0560f42f0da978062f34ba3005ea45b3df4bc58ae0c1af
80,public\ocr\books\class6-english\pages\page-075.json,TEXTBOOK_OCR,.json,17138,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,a18ea4e468504e87f90dcbd80bb66bf8ed8478f22e7c2c59455c32274738b930
81,public\ocr\books\class6-english\pages\page-076.json,TEXTBOOK_OCR,.json,21879,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,f5f306ac933b07c610d2d850aabe8ba225df7364d8d02a1bf51c5d0bdefaf47d
82,public\ocr\books\class6-english\pages\page-077.json,TEXTBOOK_OCR,.json,19555,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,6ed3f628565be2c0e78ad972ac0154a06ad9cd091a34e802d76b78a370a5f6e2
83,public\ocr\books\class6-english\pages\page-078.json,TEXTBOOK_OCR,.json,14286,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,3102878139df6aabc11c55513af32af657c7f2fb22568810b57ec3771e839224
84,public\ocr\books\class6-english\pages\page-079.json,TEXTBOOK_OCR,.json,20614,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,e576275d88931ee0f460b135db78233761d52522bc939cc068a0c4e1e2fa80f9
85,public\ocr\books\class6-english\pages\page-080.json,TEXTBOOK_OCR,.json,25510,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,cbb96b32d86fafc4e00c22ce2b079ee534b10ecfb5697a5128bf7bd958077b52
